ensembl_gene_id	ensembl_transcript_id	chromosome_name	mgi_symbol	description
ENSMUSG00000102693	ENSMUST00000193812	1	4933401J01Rik	RIKEN cDNA 4933401J01 gene [Source:MGI Symbol;Acc:MGI:1918292]
ENSMUSG00000064842	ENSMUST00000082908	1	Gm26206	predicted gene, 26206 [Source:MGI Symbol;Acc:MGI:5455983]
ENSMUSG00000051951	ENSMUST00000162897	1	Xkr4	X Kell blood group precursor related family member 4 [Source:MGI Symbol;Acc:MGI:3528744]
ENSMUSG00000102851	ENSMUST00000192857	1	Gm18956	predicted gene, 18956 [Source:MGI Symbol;Acc:MGI:5011141]
ENSMUSG00000103377	ENSMUST00000195335	1	Gm37180	predicted gene, 37180 [Source:MGI Symbol;Acc:MGI:5610408]
ENSMUSG00000104017	ENSMUST00000192336	1	Gm37363	predicted gene, 37363 [Source:MGI Symbol;Acc:MGI:5610591]
ENSMUSG00000103025	ENSMUST00000194099	1	Gm37686	predicted gene, 37686 [Source:MGI Symbol;Acc:MGI:5610914]
ENSMUSG00000089699	ENSMUST00000161581	1	Gm1992	predicted gene 1992 [Source:MGI Symbol;Acc:MGI:3780162]
ENSMUSG00000103201	ENSMUST00000192973	1	Gm37329	predicted gene, 37329 [Source:MGI Symbol;Acc:MGI:5610557]
ENSMUSG00000103147	ENSMUST00000192183	1	Gm7341	predicted gene 7341 [Source:MGI Symbol;Acc:MGI:3648497]
ENSMUSG00000103161	ENSMUST00000195166	1	Gm38148	predicted gene, 38148 [Source:MGI Symbol;Acc:MGI:5611376]
ENSMUSG00000102331	ENSMUST00000192692	1	Gm19938	predicted gene, 19938 [Source:MGI Symbol;Acc:MGI:5012123]
ENSMUSG00000102348	ENSMUST00000193244	1	Gm10568	predicted gene 10568 [Source:MGI Symbol;Acc:MGI:3642703]
ENSMUSG00000102592	ENSMUST00000194454	1	Gm38385	predicted gene, 38385 [Source:MGI Symbol;Acc:MGI:5611613]
ENSMUSG00000088333	ENSMUST00000157708	1	Gm27396	predicted gene, 27396 [Source:MGI Symbol;Acc:MGI:5530778]
ENSMUSG00000102343	ENSMUST00000194643	1	Gm37381	predicted gene, 37381 [Source:MGI Symbol;Acc:MGI:5610609]
ENSMUSG00000102948	ENSMUST00000195384	1	Gm6101	predicted gene 6101 [Source:MGI Symbol;Acc:MGI:3644986]
ENSMUSG00000025900	ENSMUST00000194992	1	Rp1	retinitis pigmentosa 1 (human) [Source:MGI Symbol;Acc:MGI:1341105]
ENSMUSG00000104123	ENSMUST00000194382	1	Gm37483	predicted gene, 37483 [Source:MGI Symbol;Acc:MGI:5610711]
ENSMUSG00000025902	ENSMUST00000027035	1	Sox17	SRY (sex determining region Y)-box 17 [Source:MGI Symbol;Acc:MGI:107543]
ENSMUSG00000104238	ENSMUST00000193450	1	Gm37587	predicted gene, 37587 [Source:MGI Symbol;Acc:MGI:5610815]
ENSMUSG00000102269	ENSMUST00000195361	1	Gm7357	predicted gene 7357 [Source:MGI Symbol;Acc:MGI:3643257]
ENSMUSG00000096126	ENSMUST00000180019	1	Gm22307	predicted gene, 22307 [Source:MGI Symbol;Acc:MGI:5452084]
ENSMUSG00000103003	ENSMUST00000193889	1	Gm38076	predicted gene, 38076 [Source:MGI Symbol;Acc:MGI:5611304]
ENSMUSG00000104328	ENSMUST00000195771	1	Gm37323	predicted gene, 37323 [Source:MGI Symbol;Acc:MGI:5610551]
ENSMUSG00000102735	ENSMUST00000192738	1	Gm7369	predicted gene 7369 [Source:MGI Symbol;Acc:MGI:3643485]
ENSMUSG00000098104	ENSMUST00000182774	1	Gm6085	predicted gene 6085 [Source:MGI Symbol;Acc:MGI:3646770]
ENSMUSG00000102175	ENSMUST00000193443	1	Gm6119	predicted gene 6119 [Source:MGI Symbol;Acc:MGI:3644547]
ENSMUSG00000088000	ENSMUST00000157375	1	Gm25493	predicted gene, 25493 [Source:MGI Symbol;Acc:MGI:5455270]
ENSMUSG00000103265	ENSMUST00000195671	1	Gm2053	predicted gene 2053 [Source:MGI Symbol;Acc:MGI:3780221]
ENSMUSG00000103922	ENSMUST00000193658	1	Gm6123	predicted gene 6123 [Source:MGI Symbol;Acc:MGI:3647047]
ENSMUSG00000033845	ENSMUST00000130201	1	Mrpl15	mitochondrial ribosomal protein L15 [Source:MGI Symbol;Acc:MGI:1351639]
ENSMUSG00000102275	ENSMUST00000195445	1	Gm37144	predicted gene, 37144 [Source:MGI Symbol;Acc:MGI:5610372]
ENSMUSG00000025903	ENSMUST00000134384	1	Lypla1	lysophospholipase 1 [Source:MGI Symbol;Acc:MGI:1344588]
ENSMUSG00000104217	ENSMUST00000155020	1	Gm37988	predicted gene, 37988 [Source:MGI Symbol;Acc:MGI:5611216]
ENSMUSG00000033813	ENSMUST00000081551	1	Tcea1	transcription elongation factor A (SII) 1 [Source:MGI Symbol;Acc:MGI:1196624]
ENSMUSG00000062588	ENSMUST00000078030	1	Gm6104	predicted gene 6104 [Source:MGI Symbol;Acc:MGI:3648587]
ENSMUSG00000103280	ENSMUST00000194052	1	Gm37277	predicted gene, 37277 [Source:MGI Symbol;Acc:MGI:5610505]
ENSMUSG00000002459	ENSMUST00000002533	1	Rgs20	regulator of G-protein signaling 20 [Source:MGI Symbol;Acc:MGI:1929866]
ENSMUSG00000091305	ENSMUST00000168963	1	Gm17100	predicted gene 17100 [Source:MGI Symbol;Acc:MGI:4937927]
ENSMUSG00000102653	ENSMUST00000194114	1	Gm37079	predicted gene, 37079 [Source:MGI Symbol;Acc:MGI:5610307]
ENSMUSG00000085623	ENSMUST00000144339	1	Gm16041	predicted gene 16041 [Source:MGI Symbol;Acc:MGI:3801909]
ENSMUSG00000091665	ENSMUST00000169520	1	Gm17101	predicted gene 17101 [Source:MGI Symbol;Acc:MGI:4937928]
ENSMUSG00000033793	ENSMUST00000192847	1	Atp6v1h	ATPase, H+ transporting, lysosomal V1 subunit H [Source:MGI Symbol;Acc:MGI:1914864]
ENSMUSG00000104352	ENSMUST00000193351	1	Gm7182	predicted gene 7182 [Source:MGI Symbol;Acc:MGI:3644877]
ENSMUSG00000104046	ENSMUST00000193241	1	Gm37567	predicted gene, 37567 [Source:MGI Symbol;Acc:MGI:5610795]
ENSMUSG00000102907	ENSMUST00000194850	1	Gm38264	predicted gene, 38264 [Source:MGI Symbol;Acc:MGI:5611492]
ENSMUSG00000025905	ENSMUST00000192685	1	Oprk1	opioid receptor, kappa 1 [Source:MGI Symbol;Acc:MGI:97439]
ENSMUSG00000103936	ENSMUST00000193797	1	Gm36965	predicted gene, 36965 [Source:MGI Symbol;Acc:MGI:5610193]
ENSMUSG00000093015	ENSMUST00000175274	1	Gm22463	predicted gene, 22463 [Source:MGI Symbol;Acc:MGI:5452240]
ENSMUSG00000103519	ENSMUST00000193807	1	Gm37429	predicted gene, 37429 [Source:MGI Symbol;Acc:MGI:5610657]
ENSMUSG00000033774	ENSMUST00000044180	1	Npbwr1	neuropeptides B/W receptor 1 [Source:MGI Symbol;Acc:MGI:891989]
ENSMUSG00000103090	ENSMUST00000191956	1	Gm19214	predicted gene, 19214 [Source:MGI Symbol;Acc:MGI:5011399]
ENSMUSG00000025907	ENSMUST00000159906	1	Rb1cc1	RB1-inducible coiled-coil 1 [Source:MGI Symbol;Acc:MGI:1341850]
ENSMUSG00000090031	ENSMUST00000191825	1	4732440D04Rik	RIKEN cDNA 4732440D04 gene [Source:MGI Symbol;Acc:MGI:3604103]
ENSMUSG00000087247	ENSMUST00000133144	1	Fam150a	family with sequence similarity 150, member A [Source:MGI Symbol;Acc:MGI:3645495]
ENSMUSG00000103355	ENSMUST00000193588	1	Gm2147	predicted gene 2147 [Source:MGI Symbol;Acc:MGI:3780316]
ENSMUSG00000102706	ENSMUST00000192950	1	Gm7417	predicted gene 7417 [Source:MGI Symbol;Acc:MGI:3647903]
ENSMUSG00000103845	ENSMUST00000194240	1	Gm19026	predicted gene, 19026 [Source:MGI Symbol;Acc:MGI:5011211]
ENSMUSG00000033740	ENSMUST00000140079	1	St18	suppression of tumorigenicity 18 [Source:MGI Symbol;Acc:MGI:2446700]
ENSMUSG00000103329	ENSMUST00000195780	1	Gm37405	predicted gene, 37405 [Source:MGI Symbol;Acc:MGI:5610633]
ENSMUSG00000104385	ENSMUST00000194393	1	Gm7449	predicted gene 7449 [Source:MGI Symbol;Acc:MGI:3647895]
ENSMUSG00000102135	ENSMUST00000194605	1	Gm37108	predicted gene, 37108 [Source:MGI Symbol;Acc:MGI:5610336]
ENSMUSG00000103282	ENSMUST00000191703	1	Gm37275	predicted gene, 37275 [Source:MGI Symbol;Acc:MGI:5610503]
ENSMUSG00000102534	ENSMUST00000193423	1	Gm37225	predicted gene, 37225 [Source:MGI Symbol;Acc:MGI:5610453]
ENSMUSG00000102213	ENSMUST00000191883	1	Gm37489	predicted gene, 37489 [Source:MGI Symbol;Acc:MGI:5610717]
ENSMUSG00000103629	ENSMUST00000195648	1	Gm5694	predicted gene 5694 [Source:MGI Symbol;Acc:MGI:3645764]
ENSMUSG00000051285	ENSMUST00000061280	1	Pcmtd1	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1 [Source:MGI Symbol;Acc:MGI:2441773]
ENSMUSG00000098201	ENSMUST00000182051	1	Gm26983	predicted gene, 26983 [Source:MGI Symbol;Acc:MGI:5504098]
ENSMUSG00000103509	ENSMUST00000194854	1	Gm38372	predicted gene, 38372 [Source:MGI Symbol;Acc:MGI:5611600]
ENSMUSG00000048538	ENSMUST00000029124	1	Gm9826	predicted gene 9826 [Source:MGI Symbol;Acc:MGI:3642725]
ENSMUSG00000103709	ENSMUST00000195269	1	Nras-ps2	neuroblastoma ras oncogene, pseudogene 2 [Source:MGI Symbol;Acc:MGI:97378]
ENSMUSG00000077244	ENSMUST00000104056	1	Gm23274	predicted gene, 23274 [Source:MGI Symbol;Acc:MGI:5453051]
ENSMUSG00000102768	ENSMUST00000192649	1	Gm19002	predicted gene, 19002 [Source:MGI Symbol;Acc:MGI:5011187]
ENSMUSG00000097797	ENSMUST00000181554	1	Gm26901	predicted gene, 26901 [Source:MGI Symbol;Acc:MGI:5477395]
ENSMUSG00000103498	ENSMUST00000193998	1	Gm18984	predicted gene, 18984 [Source:MGI Symbol;Acc:MGI:5011169]
ENSMUSG00000103067	ENSMUST00000194886	1	Gm30414	predicted gene, 30414 [Source:MGI Symbol;Acc:MGI:5589573]
ENSMUSG00000102320	ENSMUST00000195081	1	Gm37791	predicted gene, 37791 [Source:MGI Symbol;Acc:MGI:5611019]
ENSMUSG00000104226	ENSMUST00000194219	1	Gm7470	predicted gene 7470 [Source:MGI Symbol;Acc:MGI:3645544]
ENSMUSG00000103903	ENSMUST00000194305	1	Rps2-ps2	ribosomal protein S2, pseudogene 2 [Source:MGI Symbol;Acc:MGI:3645546]
ENSMUSG00000103557	ENSMUST00000194872	1	Gm38216	predicted gene, 38216 [Source:MGI Symbol;Acc:MGI:5611444]
ENSMUSG00000025909	ENSMUST00000132064	1	Sntg1	syntrophin, gamma 1 [Source:MGI Symbol;Acc:MGI:1918346]
