ensembl_gene_id	ensembl_transcript_id	chromosome_name	mgi_symbol	description
ENSMUSG00000051951	ENSMUST00000162897	1	Xkr4	X Kell blood group precursor related family member 4 [Source:MGI Symbol;Acc:MGI:3528744]
ENSMUSG00000103147	ENSMUST00000192183	1	Gm7341	predicted gene 7341 [Source:MGI Symbol;Acc:MGI:3648497]
ENSMUSG00000025902	ENSMUST00000027035	1	Sox17	SRY (sex determining region Y)-box 17 [Source:MGI Symbol;Acc:MGI:107543]
ENSMUSG00000102269	ENSMUST00000195361	1	Gm7357	predicted gene 7357 [Source:MGI Symbol;Acc:MGI:3643257]
ENSMUSG00000104328	ENSMUST00000195771	1	Gm37323	predicted gene, 37323 [Source:MGI Symbol;Acc:MGI:5610551]
ENSMUSG00000098104	ENSMUST00000182774	1	Gm6085	predicted gene 6085 [Source:MGI Symbol;Acc:MGI:3646770]
ENSMUSG00000102175	ENSMUST00000193443	1	Gm6119	predicted gene 6119 [Source:MGI Symbol;Acc:MGI:3644547]
ENSMUSG00000103922	ENSMUST00000193658	1	Gm6123	predicted gene 6123 [Source:MGI Symbol;Acc:MGI:3647047]
ENSMUSG00000033845	ENSMUST00000130201	1	Mrpl15	mitochondrial ribosomal protein L15 [Source:MGI Symbol;Acc:MGI:1351639]
ENSMUSG00000104217	ENSMUST00000155020	1	Gm37988	predicted gene, 37988 [Source:MGI Symbol;Acc:MGI:5611216]
ENSMUSG00000033813	ENSMUST00000081551	1	Tcea1	transcription elongation factor A (SII) 1 [Source:MGI Symbol;Acc:MGI:1196624]
ENSMUSG00000062588	ENSMUST00000078030	1	Gm6104	predicted gene 6104 [Source:MGI Symbol;Acc:MGI:3648587]
ENSMUSG00000103280	ENSMUST00000194052	1	Gm37277	predicted gene, 37277 [Source:MGI Symbol;Acc:MGI:5610505]
ENSMUSG00000002459	ENSMUST00000002533	1	Rgs20	regulator of G-protein signaling 20 [Source:MGI Symbol;Acc:MGI:1929866]
ENSMUSG00000033793	ENSMUST00000192847	1	Atp6v1h	ATPase, H+ transporting, lysosomal V1 subunit H [Source:MGI Symbol;Acc:MGI:1914864]
ENSMUSG00000025907	ENSMUST00000159906	1	Rb1cc1	RB1-inducible coiled-coil 1 [Source:MGI Symbol;Acc:MGI:1341850]
ENSMUSG00000090031	ENSMUST00000191825	1	4732440D04Rik	RIKEN cDNA 4732440D04 gene [Source:MGI Symbol;Acc:MGI:3604103]
ENSMUSG00000087247	ENSMUST00000133144	1	Fam150a	family with sequence similarity 150, member A [Source:MGI Symbol;Acc:MGI:3645495]
